Image   | True Positive Rate | F1 Score
--------------------------------------------
0       | 1.0                | 1.000
1       | 1.0                | 1.000
2       | 1.0                | 1.000
3       | 1.0                | 1.000
4       | 1.0                | 1.000
5       | 1.0                | 0.667
6       | 0.0                | 0.000
7       | 1.0                | 1.000
8       | 0.5                | 0.500
9       | 1.0                | 1.000
10      | 0.6666666666666666 | 0.800
11      | 0.0                | 0.000
12      | 0.0                | 0.000
13      | 1.0                | 1.000
14      | 1.0                | 0.667
15      | 1.0                | 0.667
--------------------------------------------
Average | 0.7604166666666666 | 0.706

Image   | True Positive Rate | F1 Score
--------------------------------------------
0       | 1.0                | 1.000
1       | 1.0                | 1.000
2       | 1.0                | 1.000
3       | 1.0                | 1.000
4       | 1.0                | 1.000
5       | 1.0                | 0.667
6       | 0.0                | 0.000
7       | 1.0                | 1.000
8       | 0.5                | 0.500
9       | 1.0                | 1.000
10      | 0.6666666666666666 | 0.800
11      | 0.0                | 0.000
12      | 1.0                | 1.000
13      | 1.0                | 1.000
14      | 1.0                | 0.667
15      | 1.0                | 0.667
--------------------------------------------
Average | 0.8229166666666666 | 0.769
